,JOWAR,,,,,,BAJRA,,,,,
DISTRICT,Normal,Normal,,,% Sown to,% Sown to,Normal,Normal,,,%Sown to,%Sown to
,Season,"As on
date","Last
year","Current
Year","Season Normal
Normal",Normal as on date,Season,"As on
date","Last
year","Current
Year","Season
Normal","Normal as on date
on date"
Srikakulam,0,0,0,0,0%,0%,77,77,95,24,31%,31%
Vizianagaram,1,1,3,2,250%,250%,39,39,37,25,63%,63%
Parvatipuram Manyam,21,21,0,67,319%,319%,22,22,0,28,125%,125%
Alluri Sitaramaraju,258,258,0,29,11%,11%,119,119,0,86,72%,72%
Visakhapatnam,0,0,113,0,0%,0%,69,69,1028,88,127%,127%
Anakapalli,4,4,0,0,0%,0%,1156,1156,0,823,71%,71%
Kakinada,0,0,0,0,0%,0%,0,0,0,0,0%,0%
"Dr.B.R Ambedkar
Konaseema",0,0,0,0,0%,0%,0,0,0,0,0%,0%
East Godavari,0,0,12,0,0%,0%,0,0,5,0,0%,0%
West Godavari,0,0,19,0,0%,0%,0,0,0,0,0%,0%
Eluru,10,10,0,12,120%,120%,0,0,0,0,0%,0%
Krishna,1,1,19,0,0%,0%,0,0,0,0,0%,0%
NTR,10,10,0,2,20%,20%,0,0,0,0,0%,0%
Guntur,10,10,64,1,10%,10%,0,0,1100,0,0%,0%
Bapatla,55,55,0,5,9%,9%,318,318,0,42,13%,13%
Palnadu,22,22,0,16,74%,74%,643,643,0,99,15%,15%
Prakasam,292,292,268,125,43%,43%,9469,9469,8209,6795,72%,72%
SPSR Nellore,9,9,0,0,0%,0%,986,986,851,2143,217%,217%
Chittoor,52,52,178,224,431%,431%,489,489,4702,557,114%,114%
Tirupati,0,0,0,0,0%,0%,2118,2118,0,1677,79%,79%
YSR Kadapa,2021,2021,253,342,17%,17%,1091,1091,1924,836,77%,77%
Annamaya,38,38,0,33,86%,86%,1489,1489,0,425,29%,29%
Anantapuram,10064,10064,1001,1953,19%,19%,1618,1618,1367,1928,119%,119%
Sri Satyasai,1456,1456,0,460,32%,32%,1239,1239,0,666,54%,54%
Kurnool,187,187,365,104,56%,56%,4109,4109,6869,1849,45%,45%
Nandyal,3058,3058,0,1993,65%,65%,2467,2467,0,2614,106%,106%
Andhra Pradesh,17569,17569,2295,5368,31%,31%,27519,27519,26187,20705,75%,75%
