Bajra Production Statistics - Districts wise (Haryana),,,,,
District,Year,Season,Area,Production,Yield
,,Season,,,
,,,,,
1. AMBALA,2019-20 Kharif 100 200,Kharif,2019-20 Kharif 100 200,,2
2. BHIWANI,2018-19 Kharif 58000 84000,Kharif,2018-19 Kharif 58000 84000,,1.45
,2019-20 Kharif 80800 132800,Kharif,2019-20 Kharif 80800 132800,,1.64
3. CHARKI DADRI,2018-19 Kharif 37000 68000,Kharif,2018-19 Kharif 37000 68000,,1.84
,2019-20 Kharif 55200 109300,Kharif,2019-20 Kharif 55200 109300,,1.98
4. FARIDABAD,2018-19 Kharif 3000 10000,Kharif,2018-19 Kharif 3000 10000,,3.33
,2019-20 Kharif 3900 8700,Kharif,2019-20 Kharif 3900 8700,,2.23
5. FATEHABAD,2018-19 Kharif 2000 5000,Kharif,2018-19 Kharif 2000 5000,,2.5
,2019-20 Kharif 2200 5200,Kharif,2019-20 Kharif 2200 5200,,2.36
6. GURGAON,2018-19 Kharif 32000 75000,Kharif,2018-19 Kharif 32000 75000,,2.34
,2019-20 Kharif 31300 86800,Kharif,2019-20 Kharif 31300 86800,,2.77
7. HISAR,2018-19 Kharif 27000 54000,Kharif,2018-19 Kharif 27000 54000,,2
,2019-20 Kharif 27100 53900,Kharif,2019-20 Kharif 27100 53900,,1.99
8. JHAJJAR,2018-19 Kharif 38000 92000,Kharif,2018-19 Kharif 38000 92000,,2.42
,2019-20 Kharif 38100 90500,Kharif,2019-20 Kharif 38100 90500,,2.38
9. JIND,2018-19 Kharif 11000 20000,Kharif,2018-19 Kharif 11000 20000,,1.82
,2019-20 Kharif 7900 16400,Kharif,2019-20 Kharif 7900 16400,,2.08
10. KAITHAL,2018-19 Kharif 1000 2000,Kharif,2018-19 Kharif 1000 2000,,2
,2019-20 Kharif 600 1200,Kharif,2019-20 Kharif 600 1200,,2
11. KARNAL,2018-19 Kharif 200 400,Kharif,2018-19 Kharif 200 400,,2
,2019-20 Kharif 100 200,Kharif,2019-20 Kharif 100 200,,2
12,2018-19 Kharif 99000 204000,Kharif,2018-19 Kharif 99000 204000,,2.06
MAHENDRAGARH,2019-20 Kharif 113500 282800,Kharif,2019-20 Kharif 113500 282800,,2.49
13. MEWAT,2018-19 Kharif 26000 68000,Kharif,2018-19 Kharif 26000 68000,,2.62
,2019-20 Kharif 30100 83200,Kharif,2019-20 Kharif 30100 83200,,2.76
14. PALWAL,2018-19 Kharif 7000 19000,Kharif,2018-19 Kharif 7000 19000,,2.71
,2019-20 Kharif 10500 27900,Kharif,2019-20 Kharif 10500 27900,,2.66
15. PANCHKULA,2018-19 Kharif 1000 3000,Kharif,2018-19 Kharif 1000 3000,,3
,2019-20 Kharif 1200 3000,Kharif,2019-20 Kharif 1200 3000,,2.5
16. PANIPAT,2018-19 Kharif 400 700,Kharif,2018-19 Kharif 400 700,,1.75
,2019-20 Kharif 300 400,Kharif,2019-20 Kharif 300 400,,1.33
