District,Year,Season,Area,Production,Yield
1. BOKARO,2018-19,Kharif,22,7,0.32
,2019-20,Kharif,85,77,0.91
2. DUMKA,2018-19,Kharif,36,27,0.75
,2019-20,Kharif,67,52,0.78
3. GIRIDIH,2018-19,Kharif,7,6,0.86
,2019-20,Kharif,22,17,0.77
4. GODDA,2019-20,Kharif,17,9,0.53
5. HAZARIBAGH,2019-20,Kharif,13,7,0.54
6. JAMTARA,2019-20,Kharif,2,1,0.5
7. KHUNTI,2019-20,Kharif,20,12,0.6
8. KODERMA,2018-19,Kharif,5,3,0.6
9. PALAMU,2019-20,Kharif,5,3,0.6
10. RAMGARH,2019-20,Kharif,9,5,0.56
11. SAHEBGANJ,2018-19,Kharif,6,4,0.67
,2019-20,Kharif,6,4,0.67
12. SARAIKELA KHARSAWAN,2018-19,Kharif,32,16,0.5
,2019-20,Kharif,19,9,0.47
13. SIMDEGA,2018-19,Kharif,10,7,0.7
,2019-20,Kharif,2,1,0.5
14. WEST SINGHBHUM,2018-19,Kharif,12,5,0.42
2019-20,Kharif,21,9,0.43,
