District,Year,Season,Area,Production,Yield
1. BOKARO,2019-20,Kharif,284,625,2.2
2. CHATRA,2018-19,Kharif,104,149,1.43
,2019-20,Kharif,732,1069,1.46
3. DEOGHAR,2019-20,Kharif,35,18,0.51
4. DHANBAD,2018-19,Kharif,35,21,0.6
,2019-20,Kharif,31,22,0.71
5. DUMKA,2018-19,Kharif,1485,1062,0.72
,2019-20,Kharif,1065,772,0.72
6. GIRIDIH,2019-20,Kharif,845,304,0.36
7. GODDA,2019-20,Kharif,120,131,1.09
8. GUMLA,2018-19,Kharif,1296,1750,1.35
,2019-20,Kharif,1670,2305,1.38
9. HAZARIBAGH,2018-19,Kharif,242,172,0.71
,2019-20,Kharif,187,129,0.69
10. KHUNTI,2018-19,Kharif,2013,2375,1.18
,2019-20,Kharif,1689,1520,0.9
11. KODERMA,2018-19,Kharif,674,404,0.6
,2019-20,Kharif,544,326,0.6
12. LATEHAR,2018-19,Kharif,22,25,1.14
,2019-20,Kharif,327,376,1.15
13. LOHARDAGA,2018-19,Kharif,1312,525,0.4
,2019-20,Kharif,1080,432,0.4
